Accession,Title,Sample Type,Taxonomy,Channels,Platform,Series,Supplementary Types,Supplementary Links,SRA Accession,Contact,Release Date
GSM3026094,"SS2_15_0048_K10","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750150",SRX3750150,"Kristian Pietras","Nov 23, 2018"
GSM3026095,"SS2_15_0048_K11","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750151",SRX3750151,"Kristian Pietras","Nov 23, 2018"
GSM3026096,"SS2_15_0048_K12","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750152",SRX3750152,"Kristian Pietras","Nov 23, 2018"
GSM3026097,"SS2_15_0048_K13","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750153",SRX3750153,"Kristian Pietras","Nov 23, 2018"
GSM3026098,"SS2_15_0048_K14","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750154",SRX3750154,"Kristian Pietras","Nov 23, 2018"
GSM3026099,"SS2_15_0048_K15","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750155",SRX3750155,"Kristian Pietras","Nov 23, 2018"
GSM3026100,"SS2_15_0048_K16","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750156",SRX3750156,"Kristian Pietras","Nov 23, 2018"
GSM3026101,"SS2_15_0048_K17","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750157",SRX3750157,"Kristian Pietras","Nov 23, 2018"
GSM3026102,"SS2_15_0048_K18","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750158",SRX3750158,"Kristian Pietras","Nov 23, 2018"
GSM3026103,"SS2_15_0048_K19","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750159",SRX3750159,"Kristian Pietras","Nov 23, 2018"
GSM3026104,"SS2_15_0048_K20","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750160",SRX3750160,"Kristian Pietras","Nov 23, 2018"
GSM3026105,"SS2_15_0048_K21","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750161",SRX3750161,"Kristian Pietras","Nov 23, 2018"
GSM3026106,"SS2_15_0048_K22","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750162",SRX3750162,"Kristian Pietras","Nov 23, 2018"
